
===== OGF Published Documents =====

OGF documents are developed according to an [[http://redmine.ogf.org/projects/editor/wiki/About_OGF_Documents|open public process as described at this link]].

<sortable>
^ GFD  ^ Type  ^ Area  ^ Group  ^ Publication ^ Title  ^ Authors ^
|<html><div class="hidden">181</div> <a href="http://www.ogf.org/documents/GFD.181.pdf">GFD.181</a></html>   |INFO              |Architecture          |PGI-WG                 |2011-03-20   |OGF-Production Grid Infrastructure: Glossary of Acronyms and Terms, Version 1.0   |E. Urbah     |
|<html><div class="hidden">180</div> <a href="http://www.ogf.org/documents/GFD.180.pdf">GFD.180</a></html>   |INFO              |Architecture          |PGI-WG                 |2011-03-20   |OGF-Production Grid Infrastructure: Use Case Collection, Version 1.0   |M. Riedel, J. Watzl     |
|<html><div class="hidden">179</div> <a href="http://www.ogf.org/documents/GFD.179.pdf">GFD.179</a></html>   |EXP               |Compute               |HPCP-WG, OGSA-BES-WG   |2011-03-20   |Smoa Computing HPC Basic Profile Adoption â€“ Experience Report   |M. Mamonski     |
|<html><div class="hidden">178</div> <a href="http://www.ogf.org/documents/GFD.178.pdf">GFD.178</a></html>   |P-REC             |Applications          |SAGA-WG                |2011-03-16   |SAGA %%API%% Extension: Message %%API%%                      |A. Merzky     |
|<html><div class="hidden">177</div> <a href="http://www.ogf.org/documents/GFD.177.pdf">GFD.177</a></html>   |P-REC             |Applications          |SAGA-WG                |2011-03-16   |SAGA %%API%% Extension: Advert %%API%%                       |A. Merzky     |
|<html><div class="hidden">176</div> <a href="http://www.ogf.org/documents/GFD.176.pdf">GFD.176</a></html>   |EXP               |Applications          |SAGA-WG                |2011-02-07   |Experiences with Implementing the SAGA Core %%API%%      |M. den Burger, M. Franceschini, M. Illingworth, C. Jacobs, S. Jha, H. Kaiser, T. Kielmann, A. Merzky, R. van Nieuwpoort, S. Reynaud, O. Weidner     |
|<html><div class="hidden">175</div> <a href="http://www.ogf.org/documents/GFD.175.pdf">GFD.175</a></html>   |INFO              |Infrastructure        |NML-WG                 |2011-01-24   |Translating From DCN to NDL and Back Again           |J. van der Ham     |
|<html><div class="hidden">174</div> <a href="http://www.ogf.org/documents/GFD.174.pdf">GFD.174</a></html>   |P-REC             |Data                  |DFDL-WG                |2011-01-31   |OBSOLETE: Data Format Description Language (DFDL) v1.0 Specification   |A. Powell, M. Beckerle, S. Hanson     |
|<html><div class="hidden">173</div> <a href="http://www.ogf.org/documents/GFD.173.pdf">GFD.173</a></html>   |INFO              |Infrastructure        |NSI-WG                 |2010-12-15   |Network Services Framework v1.0                      |G. Roberts, T. Kudoh, I. Monga, J. Sobieski, J. Vollbrecht     |
|<html><div class="hidden">172</div> <a href="http://www.ogf.org/documents/GFD.172.pdf">GFD.172</a></html>   |P-REC             |Architecture          |OGSA-Naming-WG         |2010-12-02   |RNS 1.1 OGSA WSRF Basic Profile Rendering 1.0        |M. Morgan, O. Tatebe     |
|<html><div class="hidden">171</div> <a href="http://www.ogf.org/documents/GFD.171.pdf">GFD.171</a></html>   |P-REC             |Architecture          |OGSA-Naming-WG         |2010-12-02   |RNS Specification 1.1                                |M. Morgan, A. Grimshaw, O. Tatebe     |
|<html><div class="hidden">170</div> <a href="http://www.ogf.org/documents/GFD.170.pdf">GFD.170</a></html>   |INFO              |Infrastructure        |NSI-WG                 |2010-11-29   |Inter-Domain Controller (IDC) Protocol Specification   |T. Lehman, C. Guok, A. Lake, R. Krzywania, M. Balkcerkiewicz     |
|<html><div class="hidden">169</div> <a href="http://www.ogf.org/documents/GFD.169.pdf">GFD.169</a></html>   |INFO              |Security              |CAOPS-WG               |2010-04-19   |Guidelines for auditing Grid CAs version 1.0         |Y. Tanaka, M. Viljoen, S. Rea     |
